iter	Passed	Remaining
185	1452	6354
186	1459	6346
187	1466	6334
188	1472	6317
189	1477	6300
190	1484	6287
191	1490	6273
192	1496	6257
193	1503	6244
194	1508	6228
195	1514	6214
196	1520	6198
197	1526	6184
198	1534	6176
199	1542	6168
200	1550	6163
201	1557	6151
202	1564	6140
203	1570	6128
204	1579	6126
205	1587	6117
206	1594	6107
207	1600	6094
208	1606	6080
209	1612	6065
210	1618	6052
211	1624	6037
212	1631	6026
213	1637	6014
214	1643	6000
215	1650	5989
216	1655	5975
217	1663	5966
218	1670	5958
219	1678	5949
220	1686	5943
221	1694	5936
222	1700	5924
223	1706	5912
224	1714	5904
225	1720	5891
226	1726	5879
227	1732	5866
228	1738	5853
229	1745	5844
230	1751	5831
231	1757	5818
232	1763	5806
233	1769	5793
234	1775	5781
235	1781	5768
236	1787	5755
237	1794	5745
238	1800	5734
239	1807	5722
240	1812	5709
241	1818	5696
242	1825	5685
243	1830	5672
244	1836	5660
245	1843	5650
246	1849	5637
247	1854	5624
248	1861	5613
249	1866	5600
250	1873	5590
251	1879	5579
252	1885	5567
253	1892	5559
254	1898	5547
255	1904	5535
256	1910	5524
257	1916	5512
258	1926	5511
259	1933	5502
260	1940	5495
261	1947	5485
262	1953	5475
263	1959	5462
264	1965	5450
265	1972	5443
266	1978	5431
267	1984	5419
268	1990	5409
269	1996	5398
270	2002	5387
271	2009	5377
272	2014	5365
273	2021	5355
274	2027	5343
275	2032	5332
276	2039	5322
277	2045	5311
278	2051	5300
279	2056	5289
280	2062	5277
281	2068	5267
282	2074	5256
283	2080	5244
284	2086	5235
285	2092	5224
286	2098	5213
287	2106	5206
288	2112	5197
289	2119	5188
290	2124	5177
291	2130	5166
292	2138	5159
293	2144	5148
294	2150	5140
295	2156	5129
296	2162	5118
297	2169	5109
298	2174	5098
299	2182	5092
300	2190	5087
301	2198	5081
302	2205	5073
303	2212	5065
304	2218	5055
305	2224	5044
306	2230	5035
307	2236	5025
308	2242	5015
309	2249	5006
310	2255	4996
311	2260	4985
312	2267	4976
313	2273	4966
314	2279	4956
315	2285	4946
316	2290	4935
317	2298	4928
318	2303	4918
319	2309	4908
320	2316	4900
321	2322	4889
322	2328	4881
323	2335	4871
324	2341	4862
325	2348	4854
326	2353	4844
327	2361	4837
328	2367	4829
329	2373	4819
330	2380	4810
331	2385	4800
332	2392	4791
333	2397	4781
334	2404	4772
335	2410	4764
336	2417	4755
337	2422	4744
338	2429	4736
339	2437	4731
340	2444	4723
341	2451	4716
342	2459	4710
343	2466	4703
344	2472	4693
345	2478	4684
346	2484	4675
347	2490	4666
348	2496	4657
349	2503	4648
350	2509	4640
351	2515	4630
352	2520	4620
353	2527	4612
354	2533	4602
355	2539	4594
356	2545	4584
357	2551	4575
358	2557	4567
359	2563	4557
360	2569	4547
361	2575	4539
362	2580	4528
363	2586	4519
364	2592	4510
365	2598	4501
366	2605	4493
367	2610	4483
368	2616	4474
369	2624	4468
370	2630	4458
371	2636	4451
372	2642	4441
373	2648	4432
374	2654	4424
375	2660	4414
376	2666	4405
377	2672	4397
378	2679	4390
379	2689	4387
380	2696	4380
381	2703	4373
382	2711	4367
383	2718	4360
384	2724	4352
385	2730	4343
386	2736	4335
387	2743	4326
388	2748	4317
389	2755	4309
390	2761	4301
391	2767	4293
392	2773	4284
393	2779	4274
394	2786	4268
395	2792	4259
396	2798	4250
397	2804	4241
398	2809	4231
399	2816	4224
400	2821	4215
401	2827	4205
402	2834	4198
403	2840	4189
404	2846	4181
405	2852	4172
406	2857	4163
407	2864	4155
408	2869	4146
409	2875	4137
410	2882	4130
411	2888	4121
412	2893	4113
413	2900	4105
414	2906	4097
415	2912	4088
416	2918	4079
417	2924	4072
418	2934	4069
419	2942	4062
420	2950	4057
421	2955	4048
422	2962	4040
423	2967	4031
424	2973	4022
425	2979	4015
426	2985	4006
427	2991	3998
428	2998	3990
429	3003	3981
430	3010	3973
431	3015	3965
432	3021	3956
433	3028	3949
434	3034	3941
435	3039	3932
436	3047	3925
437	3052	3917
438	3058	3908
439	3064	3900
440	3070	3891
441	3076	3884
442	3082	3875
443	3088	3867
444	3094	3859
445	3100	3851
446	3106	3843
447	3112	3835
448	3118	3827
449	3126	3820
450	3131	3812
451	3137	3804
452	3147	3800
453	3154	3793
454	3161	3787
455	3167	3779
456	3178	3776
457	3185	3769
458	3193	3764
459	3201	3758
460	3207	3750
461	3213	3742
462	3219	3734
463	3225	3726
464	3232	3718
465	3238	3710
466	3243	3702
467	3249	3694
468	3255	3686
469	3262	3678
470	3267	3670
471	3274	3662
472	3279	3654
473	3285	3646
474	3291	3638
475	3298	3630
476	3304	3623
477	3310	3615
478	3316	3607
479	3322	3599
480	3328	3591
481	3334	3583
482	3340	3575
483	3346	3567
484	3352	3559
485	3358	3552
486	3364	3544
487	3371	3537
488	3377	3529
489	3382	3520
490	3388	3513
491	3394	3504
492	3400	3497
493	3406	3489
494	3412	3481
495	3419	3474
496	3424	3466
497	3434	3462
498	3441	3455
499	3448	3448
500	3455	3441
501	3463	3436
502	3473	3431
503	3485	3429
504	3493	3424
505	3503	3420
506	3511	3414
507	3523	3412
508	3532	3407
509	3539	3401
510	3551	3398
511	3558	3391
512	3567	3386
513	3580	3385
514	3589	3380
515	3599	3376
516	3607	3370
517	3620	3368
518	3630	3364
519	3638	3358
520	3647	3353
521	3657	3349
522	3667	3344
523	3678	3341
524	3685	3334
525	3694	3328
526	3701	3321
527	3706	3313
528	3713	3306
529	3719	3298
530	3724	3289
531	3731	3282
532	3737	3274
533	3744	3267
534	3750	3259
535	3756	3251
536	3763	3244
537	3769	3237
538	3775	3229
539	3782	3222
540	3788	3214
541	3795	3207
542	3801	3199
543	3807	3191
544	3813	3183
545	3819	3175
546	3826	3168
547	3832	3160
548	3838	3152
549	3845	3145
550	3850	3137
551	3856	3130
552	3862	3122
553	3868	3114
554	3875	3107
555	3881	3099
556	3886	3091
557	3894	3084
558	3899	3076
559	3906	3069
560	3912	3061
561	3918	3053
562	3926	3048
563	3933	3040
564	3941	3034
565	3949	3028
566	3957	3022
567	3963	3014
568	3969	3006
569	3975	2999
570	3981	2991
571	3987	2983
572	3994	2976
573	4000	2968
574	4007	2961
575	4013	2954
576	4019	2946
577	4025	2938
578	4031	2931
579	4037	2923
580	4043	2916
581	4049	2908
582	4056	2901
583	4061	2893
584	4067	2885
585	4074	2878
586	4080	2870
587	4087	2863
588	4094	2857
589	4100	2849
590	4108	2842
591	4113	2835
592	4120	2828
593	4126	2820
594	4131	2812
595	4138	2805
596	4143	2797
597	4150	2789
598	4155	2782
599	4161	2774
600	4171	2769
601	4178	2762
602	4185	2755
603	4191	2748
604	4199	2741
605	4206	2734
606	4211	2727
607	4218	2719
608	4224	2711
609	4231	2705
610	4237	2697
611	4243	2690
612	4250	2683
613	4255	2675
614	4261	2668
615	4267	2660
616	4273	2652
617	4280	2645
618	4286	2638
619	4292	2630
620	4299	2623
621	4304	2616
622	4311	2608
623	4317	2601
624	4323	2594
625	4330	2586
626	4336	2580
627	4344	2573
628	4349	2565
629	4356	2558
630	4363	2551
631	4368	2543
632	4374	2536
633	4380	2528
634	4386	2521
635	4392	2513
636	4398	2506
637	4403	2498
638	4412	2492
639	4419	2485
640	4427	2479
641	4434	2472
642	4440	2465
643	4445	2457
644	4451	2450
645	4458	2443
646	4464	2435
647	4470	2428
648	4477	2421
649	4483	2414
650	4489	2406
651	4494	2399
652	4501	2391
653	4507	2384
654	4513	2377
655	4519	2369
656	4526	2362
657	4531	2355
658	4538	2348
659	4543	2340
660	4549	2333
661	4556	2326
662	4562	2319
663	4568	2311
664	4575	2304
665	4581	2297
666	4587	2290
667	4593	2282
668	4599	2275
669	4605	2268
670	4611	2260
671	4616	2253
672	4623	2246
673	4630	2239
674	4636	2232
675	4642	2225
676	4648	2217
677	4654	2210
678	4660	2203
679	4667	2196
680	4676	2190
681	4683	2183
682	4692	2177
683	4700	2171
684	4706	2164
685	4712	2156
686	4719	2150
687	4725	2142
688	4731	2135
689	4738	2129
690	4744	2121
691	4750	2114
692	4756	2107
693	4761	2099
694	4768	2092
695	4774	2085
696	4780	2078
697	4786	2070
698	4792	2063
699	4798	2056
700	4804	2049
701	4809	2041
702	4816	2034
703	4822	2027
704	4827	2020
705	4834	2013
706	4840	2005
707	4846	1998
708	4852	1991
709	4857	1984
710	4863	1977
711	4870	1969
712	4876	1962
713	4883	1956
714	4889	1948
715	4895	1941
716	4901	1934
717	4907	1927
718	4917	1921
719	4924	1914
720	4932	1908
721	4939	1901
722	4947	1895
723	4952	1888
724	4959	1881
725	4964	1873
726	4970	1866
727	4978	1859
728	4983	1852
729	4989	1845
730	4996	1838
731	5001	1831
732	5009	1824
733	5014	1817
734	5021	1810
735	5030	1804
736	5038	1798
737	5047	1792
738	5058	1786
739	5070	1781
740	5078	1775
741	5085	1768
742	5092	1761
743	5099	1754
744	5104	1747
745	5110	1740
746	5116	1733
747	5123	1726
748	5130	1719
749	5136	1712
750	5145	1705
751	5153	1699
752	5164	1694
753	5173	1687
754	5180	1680
755	5186	1674
756	5192	1666
757	5198	1659
758	5205	1652
759	5210	1645
760	5216	1638
761	5222	1631
762	5228	1624
763	5234	1617
764	5241	1610
765	5247	1603
766	5253	1596
767	5259	1588
768	5265	1581
769	5272	1574
770	5278	1567
771	5284	1560
772	5290	1553
773	5296	1546
774	5302	1539
775	5308	1532
776	5314	1525
777	5320	1518
778	5326	1511
779	5333	1504
780	5339	1497
781	5345	1490
782	5352	1483
783	5358	1476
784	5365	1469
785	5370	1462
786	5376	1455
787	5383	1448
788	5389	1441
789	5395	1434
790	5402	1427
791	5416	1422
792	5434	1418
793	5440	1411
794	5447	1404
795	5454	1397
796	5459	1390
797	5467	1383
798	5473	1376
799	5480	1370
800	5487	1363
801	5493	1356
802	5500	1349
803	5507	1342
804	5516	1336
805	5525	1329
806	5534	1323
807	5540	1316
808	5548	1309
809	5554	1302
810	5561	1295
811	5567	1289
812	5573	1282
813	5582	1275
814	5588	1268
815	5594	1261
816	5601	1254
817	5608	1247
818	5615	1241
819	5622	1234
820	5630	1227
821	5637	1220
822	5646	1214
823	5661	1209
824	5668	1202
825	5676	1195
826	5684	1189
827	5691	1182
828	5698	1175
829	5727	1173
830	5735	1166
831	5745	1160
832	5756	1153
833	5767	1147
834	5777	1141
835	5786	1135
836	5796	1128
837	5808	1122
838	5824	1117
839	5842	1112
840	5857	1107
841	5865	1100
842	5873	1093
843	5880	1086
844	5887	1079
845	5893	1072
846	5903	1066
847	5911	1059
848	5919	1052
849	5926	1045
850	5933	1038
851	5940	1031
852	5946	1024
853	5954	1017
854	5960	1010
855	5967	1003
856	5974	996
857	5980	989
858	5988	982
859	5994	975
860	6001	968
861	6008	961
862	6014	954
863	6020	947
864	6027	940
865	6034	933
866	6040	926
867	6048	919
868	6055	912
869	6062	905
870	6069	898
871	6076	891
872	6083	884
873	6089	877
874	6095	870
875	6102	863
876	6107	856
877	6113	849
878	6119	842
879	6126	835
880	6133	828
881	6140	821
882	6149	814
883	6157	808
884	6166	801
885	6174	794
886	6181	787
887	6187	780
888	6194	773
889	6200	766
890	6206	759
891	6213	752
892	6219	745
893	6226	738
894	6232	731
895	6238	724
896	6245	717
897	6251	710
898	6256	702
899	6263	695
900	6269	688
901	6275	681
902	6280	674
903	6286	667
904	6292	660
905	6298	653
906	6303	646
907	6311	639
908	6317	632
909	6324	625
910	6329	618
911	6337	611
912	6344	604
913	6352	597
914	6361	590
915	6375	584
916	6385	577
917	6394	571
918	6406	564
919	6421	558
920	6433	551
921	6442	545
922	6450	538
923	6459	531
924	6474	524
925	6483	518
926	6490	511
927	6496	504
928	6506	497
929	6513	490
930	6521	483
931	6528	476
932	6535	469
933	6543	462
934	6551	455
935	6562	448
936	6589	443
937	6603	436
938	6631	430
939	6640	423
940	6648	416
941	6668	410
942	6676	403
943	6686	396
944	6694	389
945	6702	382
946	6709	375
947	6716	368
948	6724	361
949	6731	354
950	6739	347
951	6749	340
952	6757	333
953	6764	326
954	6771	319
955	6783	312
956	6791	305
957	6798	298
958	6804	290
959	6810	283
960	6817	276
961	6822	269
962	6829	262
963	6835	255
964	6841	248
965	6848	241
966	6854	233
967	6861	226
968	6868	219
969	6874	212
970	6881	205
971	6888	198
972	6895	191
973	6901	184
974	6908	177
975	6915	170
976	6921	162
977	6928	155
978	6935	148
979	6945	141
980	6952	134
981	6959	127
982	6965	120
983	6972	113
984	6978	106
985	6985	99
986	6992	92
987	6998	85
988	7005	77
989	7012	70
990	7019	63
991	7027	56
992	7033	49
993	7039	42
994	7046	35
995	7052	28
996	7060	21
997	7066	14
998	7073	7
999	7079	0
